Front;Back;Tags
Qual parâmetro deve ser reavaliado após intervenção em ARDS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em DPOC ventilado quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em DPOC ventilado?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em DPOC ventilado?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: DPOC ventilado?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em DPOC ventilado?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em asma grave quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em asma grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em asma grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: asma grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em asma grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em hipercalemia quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em hipercalemia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em hipercalemia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: hipercalemia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em hipercalemia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em acidose metabólica quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em acidose metabólica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em acidose metabólica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: acidose metabólica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em acidose metabólica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em pós-PCR quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em pós-PCR?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em pós-PCR?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: pós-PCR?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em pós-PCR?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em TEP maciço quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em TEP maciço?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em TEP maciço?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: TEP maciço?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em TEP maciço?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em choque cardiogênico quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em choque cardiogênico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em choque cardiogênico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: choque cardiogênico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em choque cardiogênico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em delirium quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em delirium?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em delirium?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: delirium?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em delirium?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em morte encefálica quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em morte encefálica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em morte encefálica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: morte encefálica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em morte encefálica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em nutrição enteral quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em nutrição enteral?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em nutrição enteral?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: nutrição enteral?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em nutrição enteral?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em pancreatite grave quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em pancreatite grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em pancreatite grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: pancreatite grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em pancreatite grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em cirrose na UTI quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em cirrose na UTI?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em cirrose na UTI?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
